Method name,ori_input,ori_output,trans_input,trans_output,frontend_transformer,backend_checker,Holds
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[9 2 3 8 ],[4.0 2.0 3.0 3.0 ],T:ReverseArrayCollection,C:Additive,true
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 ],[3.0 3.0 2.0 ],T:ExlucdeMaxInArrayCollection,C:Additive,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 2 3 9 ],[3.0 2.0 3.0 4.0 ],T:ShuffleArrayCollection,C:Additive,true
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[83 18 11 102 ],[3.0 3.0 1.0 2.0 ],T:PolynomialTransformer,C:Additive,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 9 10 ],[3.0 3.0 2.0 4.0 0.0 ],T:IncludeMax+1InArrayCollection,C:Additive,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[-8 -3 -2 -9 ],[-3.0 -3.0 -2.0 -4.0 ],T:Negate,C:Additive,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[16 6 4 18 ],[1.0 1.0 4.0 3.0 ],T:MultiplyConstant,C:Additive,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[11 6 5 12 ],[1.0 1.0 0.0 2.0 ],T:AddConstant,C:Additive,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[11 6 5 12 ],[1.0 1.0 0.0 2.0 ],T:AddConstant,C:DirectRelationChecker,true
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 9 10 ],[3.0 3.0 2.0 4.0 0.0 ],T:IncludeMax+1InArrayCollection,C:DirectRelationChecker,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[2 3 9 8 ],[2.0 3.0 4.0 3.0 ],T:ShuffleArrayCollection,C:DirectRelationChecker,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[16 6 4 18 ],[1.0 1.0 4.0 3.0 ],T:MultiplyConstant,C:DirectRelationChecker,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[9 2 3 8 ],[4.0 2.0 3.0 3.0 ],T:ReverseArrayCollection,C:DirectRelationChecker,false
