Method name,ori_input,ori_output,trans_input,trans_output,ori_input_vs_ori_output,trans_input_vs_trans_output,ori_input_vs_trans_input,ori_output_vs_trans_output,MetamorphicProperty,Holds
sort,[4 3 5 ],[3 4 5 ],[4 3 5 6 ],[3 4 5 6 ],0.5,0.8,-2.0,-2.0,class edu.columbia.cs.psl.mountaindew.property.InclusiveByMax,true
sort,[4 3 5 ],[3 4 5 ],[8 6 10 ],[6 8 10 ],0.5,0.5,1.0,1.0,class edu.columbia.cs.psl.mountaindew.property.MultiplicativeByConstant,true
sort,[4 3 5 ],[3 4 5 ],[4 3 ],[3 4 ],0.5,-1.0,-2.0,-2.0,class edu.columbia.cs.psl.mountaindew.property.ExclusiveByMax,true
sort,[4 3 5 ],[3 4 5 ],[-4 -3 -5 ],[-5 -4 -3 ],0.5,-0.5,-1.0,1.0,class edu.columbia.cs.psl.mountaindew.property.Negatable,true
sort,[4 3 5 ],[3 4 5 ],[5 3 4 ],[3 4 5 ],0.5,-0.5,0.5,1.0,class edu.columbia.cs.psl.mountaindew.property.Invertable,true
sort,[4 3 5 ],[3 4 5 ],[5 3 4 ],[3 4 5 ],0.5,-0.5,0.5,1.0,class edu.columbia.cs.psl.mountaindew.property.Shufflable,true
sort,[4 3 5 ],[3 4 5 ],[4 5 3 ],[3 4 5 ],0.5,-0.5,-1.0,1.0,class edu.columbia.cs.psl.mountaindew.property.Shufflable,true
sort,[4 3 5 ],[3 4 5 ],[5 4 6 ],[4 5 6 ],0.5,0.5,1.0,1.0,class edu.columbia.cs.psl.mountaindew.property.AdditiveByConstant,true
increArray,[7 8 9 ],[8 9 10 ],[-7 -8 -9 ],[-6 -7 -8 ],1.0,1.0,-1.0,-1.0,class edu.columbia.cs.psl.mountaindew.property.Negatable,false
increArray,[7 8 9 ],[8 9 10 ],[7 8 9 10 ],[8 9 10 11 ],1.0,1.0,-2.0,-2.0,class edu.columbia.cs.psl.mountaindew.property.InclusiveByMax,true
increArray,[7 8 9 ],[8 9 10 ],[7 8 ],[8 9 ],1.0,1.0,-2.0,-2.0,class edu.columbia.cs.psl.mountaindew.property.ExclusiveByMax,true
increArray,[7 8 9 ],[8 9 10 ],[9 8 7 ],[10 9 8 ],1.0,1.0,-1.0,-1.0,class edu.columbia.cs.psl.mountaindew.property.Invertable,true
increArray,[7 8 9 ],[8 9 10 ],[14 16 18 ],[15 17 19 ],1.0,1.0,1.0,1.0,class edu.columbia.cs.psl.mountaindew.property.MultiplicativeByConstant,false
increArray,[7 8 9 ],[8 9 10 ],[8 9 10 ],[9 10 11 ],1.0,1.0,1.0,1.0,class edu.columbia.cs.psl.mountaindew.property.AdditiveByConstant,true
increArray,[7 8 9 ],[8 9 10 ],[9 8 7 ],[10 9 8 ],1.0,1.0,-1.0,-1.0,class edu.columbia.cs.psl.mountaindew.property.Shufflable,false
