Method name,frontend,backend,AORB30.csv,AORB31.csv,ori.csv
arrayDiv,T:MultiplyConstant,C:ConstructRelationChecker,false,false,false
arrayDiv,T:PolynomialTransformer,C:SizeChecker,false,false,false
arrayDiv,T:ShuffleArrayCollection,C:Invertable,false,false,false
arrayDiv,T:ShuffleArrayCollection,C:ExclusiveByMax,false,false,false
arrayDiv,T:PolynomialTransformer,C:Invertable,false,false,false
arrayDiv,T:Negate,C:Additive,false,true,false
arrayDiv,T:ShuffleArrayCollection,C:SizeChecker,false,false,false
arrayDiv,T:ExlucdeMaxInArrayCollection,C:Shuffleable,false,false,false
arrayDiv,T:PolynomialTransformer,C:Shuffleable,false,false,false
arrayDiv,T:ExlucdeMaxInArrayCollection,C:SizeChecker,false,false,false
arrayDiv,T:MultiplyConstant,C:Negatable,false,false,false
arrayDiv,T:ReverseArrayCollection,C:InclusiveByMax,false,false,false
arrayDiv,T:ExlucdeMaxInArrayCollection,C:InversiveRelationChecker,false,false,false
arrayDiv,T:IncludeMax+1InArrayCollection,C:Negatable,false,false,false
arrayDiv,T:MultiplyConstant,C:DirectRelationChecker,false,true,true
arrayDiv,T:ShuffleArrayCollection,C:Shuffleable,false,false,false
arrayDiv,T:PolynomialTransformer,C:InversiveRelationChecker,false,false,false
arrayDiv,T:Negate,C:SizeChecker,false,false,false
arrayDiv,T:Negate,C:ExclusiveByMax,false,false,false
arrayDiv,T:ExlucdeMaxInArrayCollection,C:Multiplicative,false,false,false
arrayDiv,T:ReverseArrayCollection,C:Negatable,false,false,false
arrayDiv,T:PolynomialTransformer,C:Multiplicative,false,false,false
arrayDiv,T:ExlucdeMaxInArrayCollection,C:Additive,false,false,false
arrayDiv,T:AddConstant,C:InversiveRelationChecker,false,false,false
arrayDiv,T:ExlucdeMaxInArrayCollection,C:DirectRelationChecker,false,false,false
arrayDiv,T:AddConstant,C:Invertable,false,false,false
arrayDiv,T:PolynomialTransformer,C:ExclusiveByMax,false,false,false
arrayDiv,T:Negate,C:InversiveRelationChecker,false,false,false
arrayDiv,T:ShuffleArrayCollection,C:DirectRelationChecker,false,false,false
arrayDiv,T:IncludeMax+1InArrayCollection,C:Multiplicative,false,false,false
arrayDiv,T:AddConstant,C:Additive,false,true,false
arrayDiv,T:ExlucdeMaxInArrayCollection,C:ConstructRelationChecker,false,false,false
arrayDiv,T:IncludeMax+1InArrayCollection,C:InclusiveByMax,false,true,true
arrayDiv,T:ShuffleArrayCollection,C:Additive,true,true,false
arrayDiv,T:IncludeMax+1InArrayCollection,C:Additive,false,false,false
arrayDiv,T:IncludeMax+1InArrayCollection,C:DirectRelationChecker,false,false,false
arrayDiv,T:MultiplyConstant,C:Multiplicative,false,false,true
arrayDiv,T:MultiplyConstant,C:Additive,false,true,false
arrayDiv,T:ShuffleArrayCollection,C:Negatable,false,false,false
arrayDiv,T:MultiplyConstant,C:SizeChecker,false,false,false
arrayDiv,T:Negate,C:Shuffleable,false,false,false
arrayDiv,T:AddConstant,C:ExclusiveByMax,false,false,false
arrayDiv,T:ReverseArrayCollection,C:InversiveRelationChecker,false,false,false
arrayDiv,T:IncludeMax+1InArrayCollection,C:InversiveRelationChecker,false,false,false
arrayDiv,T:ReverseArrayCollection,C:SizeChecker,false,false,false
arrayDiv,T:PolynomialTransformer,C:ConstructRelationChecker,false,false,false
arrayDiv,T:ExlucdeMaxInArrayCollection,C:Negatable,false,false,false
arrayDiv,T:ShuffleArrayCollection,C:Multiplicative,false,false,false
arrayDiv,T:PolynomialTransformer,C:Negatable,false,false,false
arrayDiv,T:ExlucdeMaxInArrayCollection,C:Invertable,false,false,false
arrayDiv,T:ReverseArrayCollection,C:ExclusiveByMax,false,false,false
arrayDiv,T:MultiplyConstant,C:InversiveRelationChecker,false,false,false
arrayDiv,T:ReverseArrayCollection,C:ConstructRelationChecker,false,false,false
arrayDiv,T:ShuffleArrayCollection,C:InversiveRelationChecker,false,false,false
arrayDiv,T:ShuffleArrayCollection,C:ConstructRelationChecker,false,false,false
arrayDiv,T:ReverseArrayCollection,C:Additive,true,true,false
arrayDiv,T:Negate,C:ConstructRelationChecker,false,false,false
arrayDiv,T:IncludeMax+1InArrayCollection,C:ConstructRelationChecker,false,false,false
arrayDiv,T:IncludeMax+1InArrayCollection,C:ExclusiveByMax,false,false,false
arrayDiv,T:ExlucdeMaxInArrayCollection,C:ExclusiveByMax,true,true,true
arrayDiv,T:PolynomialTransformer,C:Additive,false,true,false
arrayDiv,T:ReverseArrayCollection,C:Invertable,true,true,true
arrayDiv,T:AddConstant,C:InclusiveByMax,false,false,false
arrayDiv,T:Negate,C:DirectRelationChecker,true,true,true
arrayDiv,T:AddConstant,C:SizeChecker,false,false,false
arrayDiv,T:ReverseArrayCollection,C:Shuffleable,false,false,false
arrayDiv,T:Negate,C:Multiplicative,true,false,true
